time,h2_prod_kg,total_elec_cons_kw,grid_elec_cons_kw,solar_elec_cons_kw
2016-05-05 16:20:00,10.065288183096694,3019.586454929008,822.826454929008,2196.76
2016-05-05 16:30:00,9.277451523255705,2783.2354569767117,758.8154569767115,2024.4200000000003
2016-05-05 16:40:00,8.489614863414717,2546.8844590244153,694.8044590244149,1852.0800000000002
2016-05-05 16:50:00,7.701778203573728,2310.5334610721184,630.7934610721184,1679.7400000000002
2016-05-05 17:00:00,6.913941543732738,2074.1824631198215,566.7824631198217,1507.4
2016-05-05 17:10:00,6.12610488389175,1837.831465167525,502.7714651675251,1335.06
2016-05-05 17:20:00,5.445557858117653,1633.667357435296,441.97735743529614,1191.69
2016-05-05 17:30:00,4.765010832343558,1429.5032497030672,381.18324970306725,1048.32
2016-05-05 17:40:00,4.0844638065694605,1225.3391419708382,320.3891419708383,904.95
2016-05-05 17:50:00,3.4039167807953645,1021.1750342386093,259.5950342386094,761.58
2016-05-05 18:00:00,2.723369755021268,817.0109265063804,198.80092650638045,618.21
2016-05-05 18:10:00,2.0428227292471717,612.8468187741515,138.0068187741515,474.84000000000003
2016-05-05 18:20:00,1.7491258831060699,524.737764931821,129.03776493182087,395.70000000000005
2016-05-05 18:30:00,1.4554290369649676,436.62871108949025,120.06871108949026,316.56000000000006
2016-05-05 18:40:00,1.1617321908238656,348.51965724715967,111.09965724715964,237.42000000000002
2016-05-05 18:50:00,0.8680353446827634,260.41060340482903,102.13060340482903,158.28000000000003
2016-05-05 19:00:00,0.5743384985416613,172.3015495624984,93.16154956249841,79.14000000000003
2016-05-05 19:10:00,0.28064165240055927,84.19249572016778,84.19249572016778,0.0
2016-05-05 19:20:00,0.6061503956332372,181.84511868997117,181.84511868997117,0.0
2016-05-05 19:30:00,0.9316591388659152,279.4977416597746,279.4977416597746,0.0
2016-05-05 19:40:00,1.2571678820985932,377.150364629578,377.150364629578,0.0
2016-05-05 19:50:00,1.5826766253312712,474.80298759938137,474.80298759938137,0.0
2016-05-05 20:00:00,1.9081853685639496,572.4556105691848,572.4556105691848,0.0
2016-05-05 20:10:00,2.2336941117966274,670.1082335389882,670.1082335389882,0.0
2016-05-05 20:20:00,1.8706992535238007,561.2097760571402,561.2097760571402,0.0
2016-05-05 20:30:00,1.5077043952509737,452.31131857529215,452.31131857529215,0.0
2016-05-05 20:40:00,1.144709536978147,343.41286109344406,343.41286109344406,0.0
2016-05-05 20:50:00,0.7817146787053201,234.51440361159604,234.51440361159604,0.0
2016-05-05 21:00:00,0.41871982043249334,125.615946129748,125.615946129748,0.0
2016-05-05 21:10:00,0.05572496215966652,16.717488647899955,16.717488647899955,0.0
2016-05-05 21:20:00,0.24999303347053586,74.99791004116076,74.99791004116076,0.0
2016-05-05 21:30:00,0.44426110478140535,133.2783314344216,133.2783314344216,0.0
2016-05-05 21:40:00,0.6385291760922747,191.5587528276824,191.5587528276824,0.0
2016-05-05 21:50:00,0.8327972474031441,249.83917422094322,249.83917422094322,0.0
2016-05-05 22:00:00,1.0270653187140135,308.11959561420406,308.11959561420406,0.0
2016-05-05 22:10:00,1.221333390024883,366.4000170074649,366.4000170074649,0.0
2016-05-05 22:20:00,1.1827447471585293,354.8234241475588,354.8234241475588,0.0
2016-05-05 22:30:00,1.1441561042921757,343.2468312876527,343.2468312876527,0.0
2016-05-05 22:40:00,1.105567461425822,331.6702384277466,331.6702384277466,0.0
2016-05-05 22:50:00,1.0669788185594682,320.09364556784044,320.09364556784044,0.0
2016-05-05 23:00:00,1.0283901756931144,308.51705270793434,308.51705270793434,0.0
2016-05-05 23:10:00,0.9898015328267609,296.94045984802824,296.94045984802824,0.0
2016-05-05 23:20:00,0.9044711404360322,271.34134213080966,271.34134213080966,0.0
2016-05-05 23:30:00,0.8191407480453037,245.74222441359112,245.74222441359112,0.0
2016-05-05 23:40:00,0.7338103556545751,220.14310669637254,220.14310669637254,0.0
2016-05-05 23:50:00,0.6484799632638466,194.543988979154,194.543988979154,0.0
2016-05-06 00:00:00,0.563149570873118,168.94487126193542,168.94487126193542,0.0
